"gyártó"|"cikk"|"felhasználás"|"kiszerelés"
"adama"|"AFALON DISP"|"gyomirtó"|"5L"
"adama"|"AFALON DISP"|"gyomirtó"|"1L"
"adama"|"AGIL"|"gyomirtó"|"5L"
"adama"|"AGIL"|"gyomirtó"|"1L"
"adama"|"BIO-FILM"|"adalékanyag"|"5L"
"adama"|"BIO-FILM"|"adalékanyag"|"1L"
"adama"|"BROMOTRIL"|"gyomirtó"|"5L"
"adama"|"BROMOTRIL R PACK"|"gyomirtó"|"15LBromotril+5LBioFilm"
"adama"|"BULLDOCK"|"rovarölő"|"5L"
"adama"|"BULLDOCK"|"rovarölő"|"1L"
"adama"|"BUMPER"|"gombaölő"|"5L"
"adama"|"BUMPER"|"gombaölő"|"1L"
"adama"|"BUMPER SUPER"|"gombaölő"|"5L"
"adama"|"DIKAMIN"|"gyomirtó"|"g"
"adama"|"DIKAMIN"|"gyomirtó"|"1L"
"adama"|"FOLPAN 80 WDG"|"gombaölő"|"5KG"
"adama"|"FOLPAN 80 WDG"|"gombaölő"|"1KG"
"adama"|"GALIGAN"|"gyomirtó"|"5L"
"adama"|"GALIGAN"|"gyomirtó"|"1L"
"adama"|"GLYPHOGAN CLASSIC"|"gyomirtó"|"20L"
"adama"|"GOLTIX     70 SC"|"gyomirtó"|"5L"
"adama"|"GOLTIX    90 WG"|"gyomirtó"|"5KG"
"adama"|"KOHINOR"|"rovarölő"|"1L"
"adama"|"LEANDER TOP"|"gombaölő"|"5L"
"adama"|"LEGATO TRIO"|"gyomirtó"|"5L"
"adama"|"LEOPARD"|"gyomirtó"|"5L"
"adama"|"LEOPARD"|"gyomirtó"|"1L"
"adama"|"MAVRIK"|"rovarölő"|"5L"
"adama"|"MAVRIK"|"rovarölő"|"1L"
"adama"|"MAVRIK DUO"|"rovarölő"|"5LMavrik+3LSpilan"
"adama"|"MERPAN 80 WDG"|"gombaölő"|"5KG"
"adama"|"MERPAN 80 WDG"|"gombaölő"|"1KG"
"adama"|"MIRADOR FORTE"|"gombaölő"|"5L"
"adama"|"MIRAGE "|"gombaölő"|"5L"
"adama"|"MIRAGE "|"gombaölő"|"1L"
"adama"|"MISTRAL"|"gyomirtó"|"1L"
"adama"|"NIMRÓD"|"gombaölő"|"1L"
"adama"|"NORDOX"|"gombaölő"|"10KG"
"adama"|"NORDOX"|"gombaölő"|"5KG"
"adama"|"NORDOX"|"gombaölő"|"1KG"
"adama"|"OPTIMUS"|"növekedésszabályozó"|"5L"
"adama"|"ORIUS"|"csávázószer"|"5L"
"adama"|"ORIUS"|"csávázószer"|"1L"
"adama"|"PENDIGAN 330 EC"|"gyomirtó"|"5L"
"adama"|"PYRINEX     48 EC"|"rovarölő"|"5L"
"adama"|"PYRINEX 25 CS"|"rovarölő"|"5L"
"adama"|"PYRINEX 25 CS"|"rovarölő"|"1L"
"adama"|"PYRINEX SUPREME"|"rovarölő"|"5L"
"adama"|"QUANTUM MZ"|"gombaölő"|"1KG"
"adama"|"RACER"|"gyomirtó"|"5L"
"adama"|"RACER"|"gyomirtó"|"1L"
"adama"|"SHAVIT F"|"gombaölő"|"5KG"
"adama"|"SHAVIT F"|"gombaölő"|"1KG"
"adama"|"SULCOGAN"|"gyomirtó"|"5L"
"adama"|"SULTAN 50 SC"|"gyomirtó"|"5L"
"adama"|"SULTAN SALSA DUO"|"gyomirtó"|"20Sultan+0,2Salsa+2Ternd"
"adama"|"SULTAN TOP"|"gyomirtó"|"5L"
"adama"|"TOMIGAN"|"gyomirtó"|"1L"
"adama"|"TREK P"|"gyomirtó"|"5L"
"adama"|"VINCARE"|"gombaölő"|"5L"
"adama"|"ZAMIR"|"gombaölő"|"5L"
"arysta"|"AD CONTACT"|"segédanyag"|"1 L"
"arysta"|"AD CONTACT"|"segédanyag"|"5 L"
"arysta"|"AGROPON"|"adalékanyag"|"5 L"
"arysta"|"ANTIFOAM"|"segédanyag"|"1 L"
"arysta"|"APACS"|"rovarölő"|"3 GR    FT/DB"
"arysta"|"APACS"|"rovarölő"|"50GR    FT/DB"
"arysta"|"APACS"|"rovarölő"|"0,500 KG   FT/DB"
"arysta"|"APHOX 50 WG"|"rovarölő"|"1 KG"
"arysta"|"ATONIK"|"növekedésszabályozó"|"0,250 L     FT/DB"
"arysta"|"ATONIK"|"növekedésszabályozó"|"1 L"
"arysta"|"ATONIK"|"növekedésszabályozó"|"5 L"
"arysta"|"ATONIK"|"növekedésszabályozó"|"20 L"
"arysta"|"BASAMID"|"talajfertőtlenítő"|"5 KG"
"arysta"|"BASAMID"|"talajfertőtlenítő"|"20 KG"
"arysta"|"BEETUP COMPACT"|"gyomirtó"|"5 L"
"arysta"|"BEETUP TRIO"|"gyomirtó"|"5 L"
"arysta"|"BETASANA SC"|"gyomirtó"|"5 L"
"arysta"|"CARPOVIRUSINE"|"rovarölő"|"1 L"
"arysta"|"CATANE"|"rovarölő"|"1 L"
"arysta"|"CATANE"|"rovarölő"|"10 L"
"arysta"|"CATANE"|"rovarölő"|"50 L"
"arysta"|"CLIOPHAR "|"gyomirtó"|"1 L"
"arysta"|"CLIOPHAR "|"gyomirtó"|"5 L"
"arysta"|"COPERNICO HI BIO "|"gombaölő"|"1 KG"
"arysta"|"COPERNICO HI BIO "|"gombaölő"|"5 KG"
"arysta"|"CYPERKILL"|"rovarölő"|"50 ML     FT/DB"
"arysta"|"CYPERKILL"|"rovarölő"|"0,200 L     FT/DB"
"arysta"|"CYPERKILL"|"rovarölő"|"1 L"
"arysta"|"CYPERKILL"|"rovarölő"|"5 L"
"arysta"|"CYPERKILL MAX"|"rovarölő"|"1 L"
"arysta"|"DICOPHAR"|"gyomirtó"|"0,100 L     FT/DB"
"arysta"|"DICOPHAR"|"gyomirtó"|"0,500 L    FT/DB"
"arysta"|"DIFCOR"|"gombaölő"|"1 L"
"arysta"|"DIFCOR"|"gombaölő"|"5 L"
"arysta"|"DIMILIN 25 WP"|"rovarölő"|"0,500 KG   FT/DB"
"arysta"|"DIMILIN 25 WP"|"rovarölő"|"5 KG"
"arysta"|"ELASTIQ ULTRA"|"segédanyag"|"5 L"
"arysta"|"EMERALD STAR"|"gombaölő"|"5 L"
"arysta"|"ETNA 45 WG"|"gombaölő"|"1 KG"
"arysta"|"FAZOR"|"csírázásgátló"|"4 KG"
"arysta"|"FLORAMITE"|"atkaölő"|"0,250 L     FT/DB"
"arysta"|"FLORAMITE"|"atkaölő"|"1 L"
"arysta"|"FLUROSTAR"|"gyomirtó"|"1 L"
"arysta"|"FLUROSTAR"|"gyomirtó"|"5 L"
"arysta"|"FUNGURAN OH"|"gombaölő"|"20GR*10=0,200KG  FT/ DOBOZ"
"arysta"|"FUNGURAN OH"|"gombaölő"|"1KG"
"arysta"|"FUNGURAN OH"|"gombaölő"|"10KG"
"arysta"|"GIBB PLUS"|"növekedésszabályozó"|"1 L"
"arysta"|"GLOBARYLL 100"|"növekedésszabályozó"|"1L"
"arysta"|"GRAFFITI 80 WG"|"gombaölő"|"5 KG"
"arysta"|"KAPAZIN"|"gyomirtó"|"0,200 L     FT/DB"
"arysta"|"KAPAZIN"|"gyomirtó"|"1 L"
"arysta"|"KAPAZIN"|"gyomirtó"|"5 L"
"arysta"|"KAPAZIN"|"gyomirtó"|"20 L"
"arysta"|"KAPAZIN"|"gyomirtó"|"1000 L"
"arysta"|"MANZATE 75 DF"|"gombaölő"|"10 KG"
"arysta"|"MARKATE "|"rovarölő"|"1 L"
"arysta"|"MATIZ"|"gombaölő"|"1 L"
"arysta"|"MATIZ"|"gombaölő"|"5 L"
"arysta"|"MATRERO 600 FS"|"csávázószer"|"5 L"
"arysta"|"MELIUS"|"adalékanyag"|"10 L"
"arysta"|"MOXA"|"növekedésszabályozó"|"5 L"
"arysta"|"MYCOSTAR 500 SC"|"gombaölő"|"5 L"
"arysta"|"NARVAL "|"gyomirtó"|"5 L"
"arysta"|"NECATOR PLUS"|"gombaölő"|"25 KG"
"arysta"|"NONIT"|"nedvesítőszer"|"0,150 L     FT/DB"
"arysta"|"NONIT"|"nedvesítőszer"|"0,5 L      FT/DB"
"arysta"|"NONIT"|"nedvesítőszer"|"5 KG"
"arysta"|"ORTHOCID 80 WDG"|"gombaölő"|"5 KG"
"arysta"|"PANTERA"|"gyomirtó"|"1 L"
"arysta"|"PANTERA"|"gyomirtó"|"5 L"
"arysta"|"PYCLOREX NEO"|"rovarölő"|"5 L"
"arysta"|"PYRUS 400 SC"|"gombaölő"|"1 L"
"arysta"|"PYRUS 400 SC"|"gombaölő"|"5 L"
"arysta"|"RANCONA 15 ME"|"csávázószer"|"20 L"
"arysta"|"RANCONA I-MIX"|"csávázószer"|"5 L"
"arysta"|"ROYALFLO 480 ORANGE"|"csávázószer"|"1000 L"
"arysta"|"ROYALFLO 480 RED"|"csávázószer"|"1000 L"
"arysta"|"SAFRAN"|"rovarölő"|"1 L"
"arysta"|"SAFRAN"|"rovarölő"|"5 L"
"arysta"|"SANMITE 10 SC"|"atka- és rovarölő"|"1 L"
"arysta"|"SIGNAL "|"csávázószer"|"20 L"
"arysta"|"SILWET STAR"|"tapadásfokozó"|"1 L"
"arysta"|"SOLARIS"|"gyomirtó"|"5 L"
"arysta"|"SOLARIS"|"gyomirtó"|"20 L"
"arysta"|"SUNFLEX "|"gyomirtó"|"10 L"
"arysta"|"SYLLIT "|"gombaölő"|"1 L"
"arysta"|"SYLLIT "|"gombaölő"|"5 L"
"arysta"|"TARGA SUPER"|"gyomirtó"|"0,100L    FT/DB"
"arysta"|"TARGA SUPER"|"gyomirtó"|"1 L"
"arysta"|"TARGA SUPER"|"gyomirtó"|"5 L"
"arysta"|"TROY"|"gyomirtó"|"5 L"
"arysta"|"VIKING 700 SC"|"gyomirtó"|"5 L"
"arysta"|"VITAVAX"|"csávázószer"|"20 L"
"arysta"|"VITAVAX"|"csávázószer"|"1000 L"
"arysta"|"X-CHANGE"|"adalékanyag"|"5 L"
"BASF"|"ACROBAT MZ"|"gombaölő"|"10 KG"
"BASF"|"ACROBAT MZ"|"gombaölő"|"1 KG"
"BASF"|"AKRIS"|"gyomirtó"|"10 L"
"BASF"|"BASAGRAN"|"gyomirtó"|"10 L"
"BASF"|"BELLIS"|"gombaölő"|"1 KG"
